symbol,name,reportDate,fiscalDateEnding,estimate,currency
AIRS,Airsculpt Technologies Inc,5/10/2024,3/31/2024,0.0733,USD
AIT,Applied Industrial Technologies Inc,4/25/2024,3/31/2024,2.4,USD
AIU,Meta Data Ltd,5/1/2024,2/29/2024,0,USD
AIV,Apartment Investment & Management Co. - Class A,2/22/2024,12/31/2023,-0.06,USD
AIV,Apartment Investment & Management Co. - Class A,5/2/2024,3/31/2024,-0.05,USD
AIVN,AIVN,5/6/2024,2/29/2024,0,USD
AIXN,AIXN,4/25/2024,3/31/2024,,USD
AIZ,Assurant Inc,4/30/2024,3/31/2024,3.91,USD
AJG,Arthur J. Gallagher & Company,4/25/2024,3/31/2024,3.46,USD
AJIA,AJIA,5/22/2024,3/31/2024,,USD
AJRD,AJRD,5/2/2024,3/31/2024,,USD
AJX,Great Ajax Corp,2/29/2024,12/31/2023,0.2,USD
AJX,Great Ajax Corp,5/2/2024,3/31/2024,0.12,USD
AKAM,Akamai Technologies Inc,5/7/2024,3/31/2024,1.61,USD
AKBA,Akebia Therapeutics Inc,3/7/2024,12/31/2023,-0.04,USD
AKBA,Akebia Therapeutics Inc,5/6/2024,3/31/2024,-0.09,USD
AKLI,Akili Inc,3/5/2024,12/31/2023,-0.21,USD
AKLI,Akili Inc,5/9/2024,3/31/2024,-0.17,USD
AKR,Acadia Realty Trust,4/30/2024,3/31/2024,0.02,USD
AKRO,Akero Therapeutics Inc,3/15/2024,12/31/2023,-0.86,USD
AKRO,Akero Therapeutics Inc,5/13/2024,3/31/2024,-0.8889,USD
AKTS,Akoustis Technologies Inc,5/6/2024,3/31/2024,-0.12,USD
AKTX,Akari Therapeutics Plc,4/29/2024,3/31/2024,,USD
AKYA,Akoya Biosciences Inc,3/4/2024,12/31/2023,-0.27,USD
AKYA,Akoya Biosciences Inc,5/6/2024,3/31/2024,-0.2684,USD
AL,Air Lease Corp - Class A,4/29/2024,3/31/2024,1.01,USD
ALB,Albemarle Corp,5/1/2024,3/31/2024,0.38,USD
ALBT,Avalon GloboCare Corp,3/28/2024,12/31/2023,,USD
ALBT,Avalon GloboCare Corp,5/20/2024,3/31/2024,,USD
ALBY,ALBY,4/25/2024,3/31/2024,,USD
ALC,Alcon Inc,2/27/2024,12/31/2023,0.6752,USD
ALC,Alcon Inc,5/14/2024,3/31/2024,0.7592,USD
ALCO,Alico Inc,5/2/2024,3/31/2024,-0.14,USD
ALDS,ALDS,5/10/2024,3/31/2024,,USD
ALDX,Aldeyra Therapeutics Inc,3/7/2024,12/31/2023,-0.14,USD
ALDX,Aldeyra Therapeutics Inc,5/2/2024,3/31/2024,-0.1777,USD
ALE,Allete Inc,5/1/2024,3/31/2024,1.19,USD
ALEC,Alector Inc,2/26/2024,12/31/2023,-0.77,USD
ALEC,Alector Inc,5/2/2024,3/31/2024,-0.7731,USD
ALEX,Alexander & Baldwin Inc,2/28/2024,12/31/2023,0.13,USD
ALEX,Alexander & Baldwin Inc,5/2/2024,3/31/2024,0.16,USD
ALG,Alamo Group Inc,2/22/2024,12/31/2023,2.68,USD
ALG,Alamo Group Inc,5/2/2024,3/31/2024,3.06,USD
ALGM,Allegro Microsystems Inc,5/8/2024,3/31/2024,0.21,USD
ALGN,Align Technology Inc,4/24/2024,3/31/2024,1.97,USD
ALGS,Aligos Therapeutics Inc,3/7/2024,12/31/2023,-0.27,USD
ALGS,Aligos Therapeutics Inc,5/2/2024,3/31/2024,-0.37,USD
ALGT,Allegiant Travel,5/1/2024,3/31/2024,1.14,USD
ALHC,Alignment Healthcare Inc,2/27/2024,12/31/2023,-0.22,USD
ALHC,Alignment Healthcare Inc,5/2/2024,3/31/2024,-0.1668,USD
ALIF,ALIF,2/28/2024,12/31/2023,0,USD
ALIF,ALIF,5/14/2024,3/31/2024,0,USD
ALIM,Alimera Sciences Inc,3/29/2024,12/31/2023,0.18,USD
ALIM,Alimera Sciences Inc,5/13/2024,3/31/2024,0.005,USD
ALIT,Alight Inc - Class A,5/7/2024,3/31/2024,0.1337,USD
ALK,Alaska Air Group Inc,4/18/2024,3/31/2024,-1.12,USD
ALKS,Alkermes plc,4/24/2024,3/31/2024,0.6193,USD
ALKT,Alkami Technology Inc,2/28/2024,12/31/2023,0.02,USD
ALKT,Alkami Technology Inc,5/1/2024,3/31/2024,0.02,USD
ALL,Allstate Corp (The),5/1/2024,3/31/2024,3.62,USD
ALLE,Allegion plc,4/24/2024,3/31/2024,1.46,USD
ALLK,Allakos Inc,3/4/2024,12/31/2023,-0.47,USD
ALLK,Allakos Inc,5/7/2024,3/31/2024,-0.4371,USD
ALLO,Allogene Therapeutics Inc,2/26/2024,12/31/2023,-0.45,USD
ALLO,Allogene Therapeutics Inc,5/1/2024,3/31/2024,-0.4335,USD
ALLT,Allot Ltd,5/14/2024,3/31/2024,-0.11,USD
ALLY,Ally Financial Inc,4/17/2024,3/31/2024,0.51,USD
ALMC,ALMC,5/17/2024,3/31/2024,0,USD
ALMTF,ALMTF,4/1/2024,3/31/2024,,USD
ALNAQ,ALNAQ,3/5/2024,12/31/2023,0,USD
ALNT,Allient Inc,3/5/2024,12/31/2023,0.32,USD
ALNT,Allient Inc,5/1/2024,3/31/2024,0.525,USD
ALNY,Alnylam Pharmaceuticals Inc,5/2/2024,3/31/2024,-1.17,USD
ALOT,AstroNova Inc,3/21/2024,1/31/2024,,USD
ALPN,Alpine Immune Sciences Inc,3/21/2024,12/31/2023,-0.34,USD
ALPN,Alpine Immune Sciences Inc,5/9/2024,3/31/2024,-0.3433,USD
